,Frequency,FrequencyCode,Indicator,IndicatorCategory,IndicatorCategoryCode,IndicatorCode,PartnerEconomy,PartnerEconomyCode,Period,PeriodCode,ProductOrSector,ProductOrSectorClassification,ProductOrSectorClassificationCode,ProductOrSectorCode,ReportingEconomy,ReportingEconomyCode,Unit,UnitCode,Value,Year
61,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Iran,364,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,572762.0,2016
62,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Iraq,368,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,512.0,2016
63,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Ireland,372,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2988139.0,2016
64,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Italy,380,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,407031955.0,2016
65,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Côte d'Ivoire,384,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,35946.0,2016
66,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Japan,392,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,39539804.0,2016
67,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Jordan,400,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,277.0,2016
68,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Kenya,404,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1601.0,2016
69,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,"Korea, Republic of",410,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,45844405.0,2016
70,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,"Kuwait, the State of",414,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,117.0,2016
71,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Kyrgyz Republic,417,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,101.0,2016
72,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Lebanese Republic,422,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,287471.0,2016
73,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Latvia,428,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,27129.0,2016
74,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Libya,434,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1771733.0,2016
75,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Lithuania,440,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,82567.0,2016
76,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Luxembourg,442,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,563008.0,2016
77,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Malaysia,458,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,11492642.0,2016
78,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Malta,470,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,260645.0,2016
79,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Mauritius,480,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,3365.0,2016
80,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Mexico,484,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,2442607.0,2016
81,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,"Moldova, Republic of",498,Annual,A,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Harmonized System,HS,84,Tunisia,788,US$,USD,1158.0,2016
