,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
27,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-04,2013-04-01,16.765821,16.765821,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
28,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-05,2013-05-01,18.93172,18.93172,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
29,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-06,2013-06-01,18.174404,18.174404,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
30,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-07,2013-07-01,16.874808,16.874808,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
31,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-08,2013-08-01,15.23999,15.23999,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
32,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-09,2013-09-01,17.542717,17.542717,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
33,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-10,2013-10-01,19.789265,19.789265,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
34,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-11,2013-11-01,19.503116,19.503116,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
35,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2013-12,2013-12-01,21.029409,21.029409,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
36,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-01,2014-01-01,8.645418,8.645418,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
37,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-02,2014-02-01,9.0458,9.0458,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
38,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-03,2014-03-01,10.04453,10.04453,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
39,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-04,2014-04-01,8.732197,8.732197,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
40,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-05,2014-05-01,9.091666,9.091666,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
41,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-06,2014-06-01,9.286967,9.286967,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
42,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-07,2014-07-01,9.045316,9.045316,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
43,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-08,2014-08-01,8.160378,8.160378,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
44,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-09,2014-09-01,9.804388,9.804388,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
45,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2014-10,2014-10-01,10.745011,10.745011,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
