,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
29,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-06,2015-06-01,3.182228,3.182228,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
30,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-07,2015-07-01,0.270803,0.270803,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
31,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-08,2015-08-01,8.087536,8.087536,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
32,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-09,2015-09-01,1.649635,1.649635,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
33,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-10,2015-10-01,2.811623,2.811623,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
34,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-11,2015-11-01,0.545864,0.545864,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
35,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2015-12,2015-12-01,1.008031,1.008031,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
36,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-01,2016-01-01,2.445682,2.445682,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
37,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-02,2016-02-01,1.799955,1.799955,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
38,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2016-03,2016-03-01,2.491416,2.491416,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
